Ticker,Sector,Price,Volume,Fifty Day Average
BKR,Energy,33.76,5912262,30.2844
BKWO,-1,-1,1,30.64494
BKYI,Industrials,1.88,22473,1.9678
BL,Technology,63.33,582951,60.7354
BLAC,Financial Services,10.67,148165,10.59836
BLACR,-1,-1,3700,-1
BLACU,Financial Services,11.285,-1,10.9723
BLACW,-1,-1,15200,-1
BLBD,Consumer Cyclical,36.25,514263,30.4017
BLBX,Technology,2.57,1273,2.75456
BLCN,-1,-1,37126,24.8216
BLCR,-1,-1,125,29.27212
BLDE,Industrials,2.89,1069386,3.1102
BLDEW,Industrials,0.1301,32436,-1
BLDP,Industrials,2.85,2229938,3.1544
BLEU,Financial Services,10.65,547,10.7396
BLEUR,-1,0.0488,124223,-1
BLEUU,Financial Services,10.67,-1,10.67
BLEUW,Financial Services,0.034,14601,-1
BLFS,Healthcare,18.26,464400,17.5202
BLFY,Financial Services,9.26,63301,9.362
BLIN,Technology,1.07,69174,0.9074
BLKB,Technology,71.66,215064,76.202
BLLD,-1,-1,9,46.6038
BLMN,Consumer Cyclical,27.49,2042557,27.1502
BLNK,Industrials,2.62,5804927,2.8258
BLRX,Healthcare,1.2,139109,1.236
BLTE,Healthcare,43.77,36338,45.3342
